ean,asin,brand,Weblink,product_description,image_location,Amazon_Item_model_number,Amazon_Bestsellers_Rank,Bullet_Description,Amazon_Landed_Price,IPG_Cat_Desc_1_name,IPG_Cat_Desc_1_P,dim,le,wi,hi,we
088300601387,B003RYX288,"Calvin Klein",https://www.amazon.co.uk/dp/B003RYX288,"<p>Inspired by the concept of lasting love, Eternity is a romantic floral scent ideal for daytime use</p>",https://images-eu.ssl-images-amazon.com/images/I/21TezTztCHL.jpg,60138,457676,"Represents a woman with a lot of presence and strong personality,Essence with glamour,Rapid absorption that gives the skin the perfect perfume in balance,Aroma to give it a feminine touch Intensive,Ideal gift",28.94,"Eau de Perfume",Women,NA,NA,,,"181 g"
3607342852570,B015XB2DW8,"Calvin Klein",https://www.amazon.co.uk/dp/B015XB2DW8,,https://images-eu.ssl-images-amazon.com/images/I/41297mgl6YL.jpg,,,"Designer - Hersteller: Calvin Klein,Product Type: Eau De Parfum (EDP),Volume: 100ml,Geschlecht: für Sie/for Her/pour Femme",44.55,"Eau de Perfume",Women,NA,NA,,,"45.4 g"
088300162550,B00EXW0XVC,"Calvin Klein",https://www.amazon.co.uk/dp/B00EXW0XVC,"Euphoria, the new fragrance from Calvin Klein, has top notes of pomegranate, persimmon and lush green accord; within the heart imparts a mysterious and intoxicating feeling through notes of rich black orchid, dewy lotus blossom and sensual champaca flower. The drydown provides a lasting signature of liquid amber, black violet, cream accord and mahogany wood.",https://images-eu.ssl-images-amazon.com/images/I/31qSwubTULL.jpg,CK-162550,27872,"A mysterious and sensual fragrance,It gives you the feeling of new found freedom and living your dream,Floral and fruity fragrance family,Pomegranate and persimmon top notes, champaca flower, lotus and black orchid heart notes,Amber, creamy accord and mahogany wood in base",29.80,"Award Winners",Women,"5.8 x 12.3 x 10.4 cm ; 49.9 g",5.8,12.3,10.4,"49.9 g"
3607342699502,B00K9WYDEI,"Calvin Klein",https://www.amazon.co.uk/dp/B00K9WYDEI,"<p>This fragrance opens up with a light breeze of cherry blossom, refreshed with mandarin and bergamot. Pastel rose and violet form the day-dream inspired heart of the perfume, and it's followed by its gentle and sensual base of bamboo, sandalwood and musk.</p>",https://images-eu.ssl-images-amazon.com/images/I/41r%2BEFG%2BbDL.jpg,,292008,,,"Eau de Perfume",Women,NA,NA,,,"4.5 g"
3607342340442,B0056Z252K,"Calvin Klein",https://www.amazon.co.uk/dp/B0056Z252K,"Forbidden Euphoria is a seductive and tantalising fruity floriental. The sparkling top notes seduce the senses with a blend of forbidden fruit including mandarin, passion fruit and touches of iced raspberry. The heart blooms with a hypnotic bouquet of tiger orchid and jasmine. Underneath lies a layer of addictive patchouli absolute accompanied by a blend of musks, and cashmere woods for an ever lasting impression.",https://images-eu.ssl-images-amazon.com/images/I/41UXu0SexVL.jpg,11819,53368,"Fragrance from the designer house of Calvin Klein,A fragrance for women,Top notes of Mandarin, Passion Fruit, Iced Raspberry.,Base notes of Cashmere Woods, Patchouli Absolute, Skin Musk.,30ml bottle",25.28,Perfume,Women,"4.5 x 10.4 x 8.5 cm",4.5,10.4,8.5,"141 g"
719346065405,B000O8RL7S,,https://www.amazon.co.uk/dp/B000O8RL7S,,https://images-eu.ssl-images-amazon.com/images/I/118Kwjjx34L.jpg,140243,407268,,29.99,Categories,"Health & Personal Care",NA,NA,,,"172 g"
719346636933,NA,,https://www.amazon.co.uk/dp/NA,,,,,,,,,NA,NA,,,NA
719346065382,B000I6BMQ2,"Britney Spears",https://www.amazon.co.uk/dp/B000I6BMQ2,"Fantasy is the second fragrance by Britney Spears launched in 2005. This is a love potion locked up in an attractive bottle adorned with Swarovski crystals. Britney Spears Fantasy is a sweet, youthful scent. The pink flacon looks as though it is straight out of a fairytale and is adorned with tiny crystals. A charming fragrance for any occasion. Olfactory Group: Floral Fruity Gourmand Top Notes: Kiwi, Red Litchi Middle Notes: White Chocolate, Jasmine, Orchid Base Notes: Musk, Orris Root, Woodsy Notes",,BRITNEY-065382,82514,"Top notes of red lychee, golden quince and kiwi,Heart notes of jasmine, white chocolate and orchid,Base notes of musk, orris root and woode",14.00,Perfume,"Health & Personal Care","9 x 4 x 18 cm ; 454 g",9,4,18,"454 g"
719346065399,B0023IFLBK,Fantasy,https://www.amazon.co.uk/dp/B0023IFLBK,"Fantasy Twist Britney Spears By Britney Spears Eau De Parfum Spray 1.7 Oz",https://images-eu.ssl-images-amazon.com/images/I/31B0ibWUaQL.jpg,3500,141177,"Eau De Parfum Spray",34.09,"Eau de Perfume",Men,NA,NA,,,"249 g"
719346639347,B01MTFR4FN,"Britney Spears",https://www.amazon.co.uk/dp/B01MTFR4FN,"Allow yourself to be captivated into the warm daydream of Fantasy in Bloom. This fruity and floral fragrance was first launched in early 2017 and is dedicated to the enchanting scents of spring-time. The fragrance opens with the top notes of green mandarin, red berries and Sakura cherry blossom. The heart notes are a bouquet of jasmine, tuberose and osmanthus and the base notes feature sandalwood, amber and Madagascan vanilla.",https://images-eu.ssl-images-amazon.com/images/I/41pLsXrw6tL.jpg,A0106590,73929,"The fragrance begins with a burst of berries succulent and juicy mandarin, which are mixed with the delicate nature of cherry blossom.,At the heart, A irresistible Bouquet of Osmanthus, Jasmine and tuberose provide softness attractive fragrance.,The Sandalwood and amber is good and matches to the thickness of the Vanilla for a look of warm and sensual.",18.95,Perfume,Women,"8.1 x 10.9 x 12.3 cm ; 99.8 g",8.1,10.9,12.3,"99.8 g"
