name,asin,Good,Good_S,VeryGood_S,Acceptable_S,LIKEnew_S,VeryGood,Acceptable,LIKEnew,isbn,ean,title,Product_Page_Link,brand,Publisher,manufacturer,publicationdate,Edition,numberofpages,salesrank,New_MFN_Price,packagedimensions_height,packagedimensions_length,packagedimensions_width,packagedimensions_weight,itemdimensions_height,itemdimensions_length,itemdimensions_width,itemdimensions_weight,label,buybox_price,totalnew,totalused,totalcollectible,totalrefurbished,status1
"Library - Family Room - Bookcase 6",0446518107,5.91,0.00,3.98,0.00,,7.64,5.99,,0446518107,9780446518109,"Zen in the Markets",https://www.amazon.com/dp/0446518107,,"Grand Central Pub","Grand Central Pub",1992-01-01,,97,105752,$24.98,73,856,582,77,875,575,75,,"Grand Central Pub",,8,37,5,0,11
"Library - Family Room - Bookcase 6",0060914610,1.32,3.97,3.99,0.00,4.94,0.13,5.59,14.73,0060914610,9788120307575,"William E. Donoghue's Lifetime Financial Planner: Straight Talk about Your Money Decisions",https://www.amazon.com/dp/0060914610,,"HarperCollins Publishers","HarperCollins Publishers",1988-02,,448,10807952,$8.00,90,800,550,90,,,,,"HarperCollins Publishers",,5,12,1,0,11
"Library - Family Room - Bookcase 6",1567313027,5.98,0.00,3.99,0.00,,5.60,5.99,,1567313027,9781567313024,"Taking Control of Your Moods and Your Life: A Thoughts and Feelings Workbook",https://www.amazon.com/dp/1567313027,"Brand: Fine Communications","Fine Communications","Fine Communications",1998-12-01,,,2696802,$13.79,83,951,758,131,975,800,75,,"Fine Communications",,9,17,5,0,11
"Library - Family Room - Bookcase 6",0563208260,0.85,3.99,0.00,,,5.47,,,1859270603,9780563208266,"Around the World in 80 Days",https://www.amazon.com/dp/0563208260,"Brand: BCA","BBC Books","BBC Books",1989-10-26,,208,1755991,$9.75,80,970,750,200,990,80,790,,"BBC Books",,6,95,1,0,11
"Library - Family Room - Bookcase 6",0140224610,5.58,0.00,3.99,0.00,,1.64,5.56,,0140224610,9780140224610,"Atlas Of Management Thinking (Pelican)",https://www.amazon.com/dp/0140224610,,"Penguin UK","Penguin UK",1983-05-03,"Edition Unstated",224,3024566,$47.79,60,780,510,40,100,100,100,,"Penguin UK",,4,24,1,0,11
"Library - Family Room - Bookcase 6",0060916990,5.59,0.00,3.99,,0.00,0.01,,5.00,0060916990,9780060916992,"The New Realities: In Goverment and Politics in Economics and Business in Society and World View",https://www.amazon.com/dp/0060916990,,"HarperCollins Publishers","HarperCollins Publishers",1990,,,16880583,$2.95,80,790,530,50,811,611,111,,"HarperCollins Publishers",,6,35,2,0,11
"Library - Family Room - Bookcase 6",0553574760,4.83,0.00,0.00,0.00,,4.99,4.99,,0553574760,9780553574760,"Death at Buckingham Palace: Her Majesty Investigates",https://www.amazon.com/dp/0553574760,"Brand: Bantam",Crimeline,Crimeline,1996-03-01,,288,623256,$3.30,110,689,421,30,670,430,50,30,Crimeline,$7.87,19,52,1,0,11
"Library - Family Room - Bookcase 6",0312028962,4.99,0.00,0.00,0.00,,5.13,5.99,,0312028962,9780312028961,"Dale Carnegie: The Man Who Influenced Millions",https://www.amazon.com/dp/0312028962,,"St Martins Pr","St Martins Pr",1989-08-01,1st,214,1747308,$40.42,90,830,570,90,,,,,"St Martins Pr",,7,39,1,0,11
"Library - Family Room - Bookcase 6",0969509715,16.01,0.00,0.00,,,16.02,,,0969509715,9780969509714,"Treasury of Canadian Bed and Breakfasts",https://www.amazon.com/dp/0969509715,"Brand: Roundhouse Publishing Ltd","William Street Pr","William Street Pr",1992-06-01,,216,19534598,$18.95,70,1030,890,130,,,,,"William Street Pr",$18.95,1,6,0,0,11
"Library - Family Room - Bookcase 6",1563053241,4.92,0.00,1.00,3.99,,3.99,0.78,,1563053241,9781563053245,"How Come?",https://www.amazon.com/dp/1563053241,"Workman Publishing Company","Workman Publishing Company","Workman Publishing Company",1993-01-12,,320,214204,$3.05,87,795,795,119,800,800,83,133,"Workman Publishing Company",,15,131,2,0,11
"Library - Family Room - Bookcase 6",1551090376,,,3.99,,3.99,47.26,,29.98,1551090376,9781551090375,"Cinders and Saltwater: Story of Atlantic Canada's Railways",https://www.amazon.com/dp/1551090376,,"Nimbus Publishing Ltd","Nimbus Publishing Ltd",1992-12,1st,235,7387276,,63,969,693,137,,,,,"Nimbus Publishing Ltd",,0,3,0,0,11
"Library - Family Room - Bookcase 6",0887306713,1.00,3.99,0.00,3.99,0.00,5.29,1.22,5.46,0887306713,9780887306716,"Built to Last",https://www.amazon.com/dp/0887306713,"Brand: Harper Business",HarperBus,HarperBus,1994-09-16,1st,322,1174949,$4.98,130,930,610,165,975,125,650,,HarperBus,$7.22,27,137,11,0,11
"Library - Family Room - Bookcase 6",0679409793,8.62,0.00,0.00,0.00,,10.82,8.63,,0679409793,9780679409793,"Africa: A Biography of the Continent",https://www.amazon.com/dp/0679409793,,Knopf,Knopf,1998-04-14,"1st American ed",816,729634,$20.00,210,940,670,310,1000,725,200,,Knopf,$26.05,22,66,10,0,11
"Library - Paperback Fiction",0749301104,5.96,0.00,3.99,0.00,,2.67,5.99,,0749301104,9780749301101,Ice,https://www.amazon.com/dp/0749301104,,Mandarin,Mandarin,1989,"New Ed",208,4240601,$143.10,63,677,425,26,,,,,Mandarin,,1,15,0,0,11
"Library - Paperback Fiction",0752837028,4.99,0.00,3.99,0.00,,1.38,4.99,,0752837028,9780752837024,"THE MARCHING SEASON",https://www.amazon.com/dp/0752837028,,"ORION MASS MARKET PAPERBACK","ORION MASS MARKET PAPERBACK",2001,,416,2687963,$11.22,142,701,441,49,453,705,106,46,"ORION MASS MARKET PAPERBACK",,16,45,0,0,11
"Library - Paperback Fiction",0440243823,4.83,0.00,0.00,3.99,,4.99,0.77,,0440243823,9780440243823,"The Associate: A Novel",https://www.amazon.com/dp/0440243823,Dell,Dell,Dell,2009-09-22,,434,90275,$2.69,120,730,420,55,750,420,99,,Dell,$7.49,61,336,5,0,11
"Library - Paperback Fiction",0413588106,0.36,3.99,0.00,3.99,,5.47,0.36,,0413588106,9780413588104,"Growing Pains of Adrian Mole",https://www.amazon.com/dp/0413588106,,"Methuen Publishing Ltd","Methuen Publishing Ltd",1985-08-01,,160,7536946,$404.68,50,680,410,30,,,,,"Methuen Publishing Ltd",,2,113,1,0,11
"Library - Paperback Fiction",076535697X,4.80,0.00,1.00,3.96,,3.99,0.94,,076535697X,9780765356970,"Impact (Wyman Ford Series)",https://www.amazon.com/dp/076535697X,"Forge Books","Forge Books","Forge Books",2010-12-28,Reprint,432,808045,$6.84,120,740,410,60,755,424,113,61,"Forge Books",$9.99,20,121,2,0,11
"Library - Paperback Fiction",034093557X,1.29,3.99,0.00,3.99,,5.47,1.29,,034093557X,9780340935576,"What Came Before He Shot Her",https://www.amazon.com/dp/034093557X,"Brand: HODDER PAPERBACKS",Harper,Harper,2007,First,656,18072385,$6.53,180,660,440,65,165,449,701,75,Harper,,4,78,1,0,11
"Library - Paperback Fiction",0552137642,1.32,3.99,0.00,3.99,,5.99,1.32,,0552137642,9780552137645,Damia,https://www.amazon.com/dp/0552137642,,"Corgi Books","Corgi Books",1993-02-11,"New edition",384,4954782,$54.81,118,685,417,49,693,429,98,,"Corgi Books",,2,29,0,0,11
"Library - Paperback Fiction",0752833863,5.46,0.00,3.99,3.99,,1.70,1.80,,0752833863,9780752833866,"The Shot",https://www.amazon.com/dp/0752833863,,Orion,Orion,2000,,,17109472,$29.99,140,680,430,60,697,433,118,,Orion,,2,27,1,0,11
"Library - Paperback Fiction",014002154X,5.26,0.00,3.99,0.00,,1.27,5.99,,014002154X,9780140021547,"An Unofficial Rose",https://www.amazon.com/dp/014002154X,,"Penguin Books","Penguin Books",1987-01-06,,288,2178624,$32.20,80,800,490,45,500,700,100,,"Penguin Books",,8,25,1,0,11
"Library - Paperback Fiction",0014241722,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11
"Library - Paperback Fiction",0330331973,5.47,0.00,0.00,3.99,,5.47,1.29,,0330331973,9780330331975,"River God (The Egyptian Novels)",https://www.amazon.com/dp/0330331973,"Brand: Pan Books","Pan Books","Pan Books",1994-06-01,,672,7341059,$37.64,173,685,449,79,437,681,157,99,"Pan Books",,5,71,1,0,11
"Library - Paperback Fiction",0006496458,0.01,3.99,0.00,3.99,,4.99,0.01,,0006496458,9780006496458,"The Fourth Estate",https://www.amazon.com/dp/0006496458,,"HarperCollins Publishers Ltd","HarperCollins Publishers Ltd",1997-04-14,"New Ed",560,7662604,$14.50,157,669,441,66,437,697,138,0,"HarperCollins Publishers Ltd",,5,105,2,0,11
"Library - Paperback Fiction",000647974X,5.29,0.00,0.00,0.00,,5.47,5.29,,000647974X,9780006479741,"Debt of Honour",https://www.amazon.com/dp/000647974X,,"HarperCollins Publishers Ltd","HarperCollins Publishers Ltd",1994-08-24,"New Ed",912,801283,$28.08,165,693,441,97,701,437,154,101,"HarperCollins Publishers Ltd",,9,88,0,0,11
"Library - Paperback Fiction",0099457164,0.37,3.99,3.99,3.99,3.99,0.37,0.37,0.98,0099457164,9780099457169,"The Broker",https://www.amazon.com/dp/0099457164,,"Arrow Books","Arrow Books",2005-11-01,"New Ed",467,6152948,$2.50,134,677,433,53,130,690,430,,"Arrow Books",,15,182,1,0,11
"Library - Paperback Fiction",0752803565,5.47,0.00,0.00,3.99,,4.99,0.85,,0752803565,9780752803562,"Wilderness of Mirrors",https://www.amazon.com/dp/0752803565,,"Orion (an Imprint of The Orion Publishing Group Ltd )","Orion (an Imprint of The Orion Publishing Group Ltd )",1996-10-07,Reprint,320,7215205,$2.97,102,677,441,44,697,433,98,49,"Orion (an Imprint of The Orion Publishing Group Ltd )",,4,38,1,0,11
"Library - Paperback Fiction",0450012484,5.46,0.00,0.00,3.99,,5.46,1.80,,0450012484,9780450012488,"Five Red Herrings: Lord Peter Wimsey Book 7 (Lord Peter Wimsey Mysteries)",https://www.amazon.com/dp/0450012484,"Brand: NEL / New English Library","Hodder Paperback","Hodder Paperback",1959-06-01,,384,2569882,$3.78,102,693,433,44,98,445,705,42,"Hodder Paperback",,8,41,0,0,11
"Library - Paperback Fiction",0044661873,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11
"Library - Paperback Fiction",0140279407,0.85,3.99,0.00,3.99,,4.99,1.33,,0140279407,9780140279405,"Adrian Mole: The Cappuccino Years",https://www.amazon.com/dp/0140279407,,"Penguin UK","Penguin UK",2000-10-31,"New Ed",416,4070611,$13.93,130,700,440,65,713,437,102,53,"Penguin UK",,9,124,1,0,11
"Library - Paperback Fiction",0140304770,5.05,0.00,3.99,,0.00,1.41,,5.99,0140304770,9780140304770,"A Wizard of Earthsea (The Earthsea Cycle, Book 1)",https://www.amazon.com/dp/0140304770,,Puffin,Puffin,2010-07-27,,208,3490425,$8.22,63,772,504,31,780,509,55,66,Puffin,,2,35,1,0,11
"Library - Paperback Fiction",0446603147,5.59,0.00,1.00,3.99,,4.15,0.01,,0446603147,9780446603140,"The Fan",https://www.amazon.com/dp/0446603147,,"Grand Central Pub","Grand Central Pub",1996-05-01,Reprint,338,5677689,$3.98,100,660,410,35,725,475,100,,"Grand Central Pub",,8,41,5,0,11
"Library - Paperback Fiction",0586213155,5.78,0.00,0.00,3.99,,6.56,1.80,,0586213155,9780586213155,"Belgarath the Sorcerer: The Prequel to the Belgariad",https://www.amazon.com/dp/0586213155,"Brand: Harper Collins",Voyager,Voyager,1996-07-22,"New edition",848,2770609,$8.99,181,693,433,88,437,693,138,,Voyager,,4,40,0,0,11
"Library - Paperback Fiction",0751506680,5.87,0.00,4.30,0.00,,2.67,5.88,,0751506680,9780751506686,"Gone, But Not Forgotten",https://www.amazon.com/dp/0751506680,,Warner,Warner,1993-10-28,,428,7225617,,126,764,488,84,,,,,Warner,,0,21,0,0,11
"Library - Paperback Fiction",0340406844,5.47,0.00,3.99,0.00,,3.37,5.46,,0340406844,9780340406847,"Whirlwind (Coronet Books)",https://www.amazon.com/dp/0340406844,,Coronet,Coronet,1987,"New Ed",1344,5201108,$61.02,197,693,449,119,217,437,705,,Coronet,,3,49,1,0,11
"Library - Paperback Fiction",0552529680,5.47,0.00,0.00,3.99,,5.47,0.37,,0552529680,9780552529686,"Johnny and the Bomb",https://www.amazon.com/dp/0552529680,,Corgi,Corgi,1999,"New Edition",240,6145980,$33.20,80,690,410,40,705,421,67,,Corgi,,6,46,1,0,11
"Library - Paperback Fiction",0752858513,1.04,3.99,2.99,3.99,,2.10,1.04,,0752858513,9780752858517,"The Bourne Supremacy (JASON BOURNE)",https://www.amazon.com/dp/0752858513,,"Orion (an Imprint of The Orion Publishing Group Ltd )","Orion (an Imprint of The Orion Publishing Group Ltd )",2004-05-06,,688,4777604,$30.68,189,685,433,84,701,437,165,75,"Orion (an Imprint of The Orion Publishing Group Ltd )",,8,62,1,0,11
"Library - Paperback Fiction",1857236106,4.99,0.00,0.00,3.99,,5.47,1.80,,1857236106,9781857236101,"Colours in the Steel (Fencer, Book 1)",https://www.amazon.com/dp/1857236106,,Orbit,Orbit,1999-03-25,"New Ed",503,998086,$12.48,150,701,417,57,700,425,125,62,Orbit,$13.86,15,45,0,0,11
"Library - Paperback Fiction",0752803549,1.05,3.98,0.00,0.00,,4.99,4.99,,0752803549,9780752803548,"Trial by Fire",https://www.amazon.com/dp/0752803549,,"Orion mass market paperback","Orion mass market paperback",1996-08-05,"New edition",384,3744704,$12.08,118,669,433,53,701,445,102,,"Orion mass market paperback",,7,53,1,0,11
"Library - Paperback Fiction",0007181604,0.96,3.99,3.99,3.99,,0.99,0.96,,0007181604,9780739454534,"State of Fear",https://www.amazon.com/dp/0007181604,,"HarperCollins Publishers Ltd","HarperCollins Publishers Ltd",2005-08-15,0,736,2928703,$5.04,189,685,433,84,701,437,169,82,"HarperCollins Publishers Ltd",,29,135,2,0,11
"Library - Paperback Fiction",0006165516,5.47,0.00,0.00,0.00,,5.99,5.45,,0006165516,9780006165514,"The Hollow",https://www.amazon.com/dp/0006165516,,"HarperCollins Publishers Ltd","HarperCollins Publishers Ltd",1995,"New Ed",240,7541831,$66.61,70,680,450,35,437,697,63,0,"HarperCollins Publishers Ltd",,3,42,1,0,11
"Library - Paperback Fiction",0330269828,0.36,3.99,,0.00,,,4.49,,0330269828,9780330269827,"Vintage Stuff",https://www.amazon.com/dp/0330269828,,"Macmillan Pub Ltd","Macmillan Pub Ltd",1997-10-01,,224,7811798,$65.13,71,685,441,26,725,450,100,,"Macmillan Pub Ltd",,2,102,1,0,11
"Library - Paperback Fiction",0316115622,5.98,0.00,0.00,0.00,,5.99,5.98,,0316115622,9780316115629,"The Potato Factory",https://www.amazon.com/dp/0316115622,,"Little Brown & Company","Little Brown & Company",1997,,666,3877532,$56.01,150,700,430,90,,,,,"Little Brown & Company",,4,14,1,0,11
"Library - Paperback Fiction",B00UY0EP02,3.99,0.00,3.99,0.00,,2.51,5.00,,,0071831008503,"Rainbox Six",https://www.amazon.com/dp/B00UY0EP02,,,,1998,,,4106060,$8.00,73,843,585,79,,,,,,,3,21,1,0,9
"Library - Paperback Fiction",0552151696,0.01,3.99,4.28,0.00,3.99,0.01,4.99,0.01,0552151696,9780552151696,"Digital Fortress",https://www.amazon.com/dp/0552151696,,"Corgi Books","Corgi Books",2004-01-17,,512,3350408,$1.99,142,685,433,57,701,406,146,35,"Corgi Books",,10,168,1,0,11
"Library - Paperback Fiction",0230712223,6.67,0.00,3.99,0.00,3.99,2.97,6.67,3.50,0230712223,9780230712225,"A Prisoner of Birth",https://www.amazon.com/dp/0230712223,,Macmillan,Macmillan,2008,"Airside ed",400,13985840,$19.99,165,756,535,115,787,531,138,,Macmillan,,4,9,0,0,11
"Library - Paperback Fiction",1844138542,0.10,3.99,3.99,3.99,3.99,0.10,0.10,3.00,1844138542,9781844138548,"The Appeal (Export Edition)",https://www.amazon.com/dp/1844138542,,"Delta Trade Paperbacks","Delta Trade Paperbacks",2008,,,14760489,$25.00,126,898,583,110,,,,,"Delta Trade Paperbacks",,1,25,0,0,11
"Library - Paperback Fiction",0140017704,1.00,3.99,3.99,3.99,3.99,1.00,9.99,19.95,0140017704,9780140017700,"The Flight from the Enchanter: A Story of Love and Power",https://www.amazon.com/dp/0140017704,,"Penguin Books","Penguin Books",1987-01-06,,288,4302429,$62.18,71,709,433,35,500,700,100,,"Penguin Books",,3,17,1,0,11
"Library - Paperback Fiction",0099478544,4.80,0.00,3.99,3.99,,1.80,0.37,,0099478544,9780099478546,"The Redbreast (Harry Hole)",https://www.amazon.com/dp/0099478544,,"Vintage Books","Vintage Books",2007-10-02,,368,5513695,$14.00,157,693,433,75,700,425,150,,"Vintage Books",$14.00,2,61,1,0,11
"Library - Paperback Fiction",0030745455,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11
"Library - Paperback Fiction",1906694176,0.85,3.99,0.00,,0.00,5.99,,5.57,1906694176,9781906694173,"The Girl Who Kicked the Hornets' Nest",https://www.amazon.com/dp/1906694176,"Brand: MacLehose Press","MacLehose Press","MacLehose Press",2009,"Trade Paperback Edition",576,1312017,$8.01,197,882,591,203,913,602,177,194,"MacLehose Press",,11,86,4,0,11
"Library - Paperback Fiction",0752834444,5.47,0.00,0.00,0.00,,6.49,5.46,,0752834444,9780752834443,"Direct Action",https://www.amazon.com/dp/0752834444,,"Orion mass market paperback","Orion mass market paperback",2000-06-15,,400,15782592,$16.01,94,677,441,44,701,433,79,,"Orion mass market paperback",,5,40,1,0,11
"Library - Paperback Fiction",0316038377,0.49,3.99,3.99,3.99,0.00,0.50,0.01,4.00,0316038377,9780316038379,"Twilight (The Twilight Saga, Book 1)",https://www.amazon.com/dp/0316038377,"Little, Brown Books for Young Readers","Little, Brown Books for Young Readers","Little, Brown Books for Young Readers",2008-11-01,Reprint,544,628287,$3.00,120,660,420,20,700,425,150,,"Little, Brown Books for Young Readers",,22,327,3,0,11
"Library - Paperback Fiction",0752802593,5.46,0.00,0.00,0.00,,5.67,5.46,,0752802593,9780752802596,"Siege of Silence",https://www.amazon.com/dp/0752802593,,"Orion mass market paperback","Orion mass market paperback",1994-07-07,,273,3188155,$62.00,94,677,425,35,705,433,83,,"Orion mass market paperback",,3,27,0,0,11
"Library - Paperback Fiction",0752816683,5.78,0.00,0.00,0.00,,5.78,5.78,,0752816683,9780752816685,Ultra,https://www.amazon.com/dp/0752816683,,"McArthur & Co / Orion Con Mm","McArthur & Co / Orion Con Mm",1998,"New Ed",400,18166427,$2.97,110,690,440,40,701,437,83,,"McArthur & Co / Orion Con Mm",,5,29,1,0,11
"Library - Paperback Fiction",0752844008,0.36,3.99,0.00,3.99,,4.99,0.37,,0752844008,9780752844008,"Hong Kong (A Jake Grafton Novel)",https://www.amazon.com/dp/0752844008,,"Orion (an Imprint of The Orion Publishing Group Ltd )","Orion (an Imprint of The Orion Publishing Group Ltd )",2001-08-01,"New Ed",352,4059018,$13.88,118,677,433,53,701,433,106,0,"Orion (an Imprint of The Orion Publishing Group Ltd )",,7,58,2,0,11
"Library - Paperback Fiction",0752801708,0.37,3.99,3.99,3.99,,1.95,1.80,,0752801708,9780752801704,"War Dance",https://www.amazon.com/dp/0752801708,"Brand: ORION, LONDON","Orion Pub Co","Orion Pub Co",1996-06-01,,320,12801337,$2.97,110,724,457,26,725,450,100,,"Orion Pub Co",$2.97,6,30,1,0,11
"Library - Paperback Fiction",0007195265,2.56,3.99,0.00,3.99,9.00,6.55,2.55,7.95,0007195265,9780007195268,"Emperor: The Field of Swords",https://www.amazon.com/dp/0007195265,,HarperCollins,HarperCollins,2004,"paperback / softback",544,11406209,$68.58,165,898,598,154,,,,,HarperCollins,,2,15,0,0,11
"Library - Paperback Fiction",0330287656,4.86,0.00,3.99,0.00,,1.13,4.85,,0330287656,9780330287654,"Wilt On High",https://www.amazon.com/dp/0330287656,,"Pan Books Ltd","Pan Books Ltd",1985-09-06,"New edition",256,3247916,$83.18,70,700,420,30,701,437,91,,"Pan Books Ltd",,2,103,0,0,11
"Library - Family Room - Bookcase 1",0674212770,9.94,3.99,0.00,0.00,,14.89,10.88,,0674212770,9780674212770,"Distinction: A Social Critique of the Judgement of Taste",https://www.amazon.com/dp/0674212770,,"Harvard University Press","Harvard University Press",1984-01,,613,597344,$35.25,180,910,620,155,925,650,125,154,"Harvard University Press",$36.25,21,69,0,0,11
"Library - Family Room - Bookcase 1",0143037145,0.50,3.99,3.99,3.99,,0.60,0.47,,0143037145,9780143037149,"The Memory Keeper's Daughter: A Novel",https://www.amazon.com/dp/0143037145,"Penguin Books","Penguin Books","Penguin Books",2006-05-30,,401,41780,$2.45,90,810,510,70,820,510,80,100,"Penguin Books",$9.04,175,1527,18,0,11
"Library - Family Room - Bookcase 1",0091799651,0.85,3.99,3.99,0.00,,2.97,6.55,,0091799651,9780091799656,"Wilt in Nowhere",https://www.amazon.com/dp/0091799651,,"Hutchinson & Co","Hutchinson & Co",2004,"Export/airport Ed",304,3900224,$82.98,102,906,598,75,917,598,91,,"Hutchinson & Co",,2,24,1,0,11
"Library - Family Room - Bookcase 1",0521497744,5.99,0.00,0.00,0.00,3.99,5.69,5.68,3.00,0521497744,9780521497749,"The Crisis of Vision in Modern Economic Thought",https://www.amazon.com/dp/0521497744,"Robert L Heilbroner","Cambridge University Press","Cambridge University Press",1996-01-26,1st,131,2298950,$9.91,40,830,540,40,850,543,35,43,"Cambridge University Press",$9.92,26,31,1,0,11
"Library - Family Room - Bookcase 1",1853263575,4.99,0.00,0.00,3.99,,6.96,1.80,,1853263575,9781853263576,"DICTIONARY OF INVENTIONS (Wordsworth Reference)",https://www.amazon.com/dp/1853263575,,"Wordsworth Editions Ltd","Wordsworth Editions Ltd",1998-04-01,,237,16413547,$34.99,63,772,496,35,800,525,50,,"Wordsworth Editions Ltd",,4,16,0,0,11
"Library - Family Room - Bookcase 1",0026132117,5.91,0.00,0.00,,,5.99,,,0026132117,9780026132114,"Get Rich Slowly: Building Your Financial Future Through Common Sense",https://www.amazon.com/dp/0026132117,,"Macmillan Pub Co","Macmillan Pub Co",1992-07-01,,288,1640085,$15.99,110,930,630,120,900,650,125,,"Macmillan Pub Co",,7,33,1,0,11
"Library - Family Room - Bookcase 1",0195115120,5.05,0.00,0.00,0.00,,5.99,5.99,,0195115120,9780195115123,"Wall Street: A History",https://www.amazon.com/dp/0195115120,,"Oxford University Press","Oxford University Press",1997-09-18,,416,2732281,$6.99,134,956,648,164,930,640,140,164,"Oxford University Press",$6.99,15,65,2,0,11
"Library - Family Room - Bookcase 1",1853263397,5.89,0.00,3.99,0.00,3.99,2.97,5.99,3.99,1853263397,9781853263392,"The Wordsworth Book of Euphemism (Wordsworth Collection Reference Library)",https://www.amazon.com/dp/1853263397,,"Wordsworth Editions Ltd","Wordsworth Editions Ltd",1995,,371,1659012,$62.45,100,770,500,70,775,500,100,61,"Wordsworth Editions Ltd",,3,29,2,0,11
"Library - Family Room - Bookcase 1",046505031X,5.54,0.00,5.49,0.00,3.99,1.99,5.99,5.00,046505031X,9780465050314,"Investor Capitalism: How Money Managers Are Changing The Face Of Corporate America",https://www.amazon.com/dp/046505031X,,"Basic Books","Basic Books",1996-05-16,1st,352,436500,$3.00,118,921,614,141,975,650,100,,"Basic Books",$5.95,6,16,2,0,11
"Library - Family Room - Bookcase 1",0195038533,4.99,0.00,0.00,0.00,0.00,5.59,4.99,5.59,0195038533,9780195038538,"Railroads Triumphant: The Growth, Rejection, and Rebirth of a Vital American Force",https://www.amazon.com/dp/0195038533,"Albro Martin","Oxford University Press","Oxford University Press",1992-01-02,1,448,179056,$8.00,160,960,660,160,956,650,158,193,"Oxford University Press",$15.00,22,129,26,0,11
"Library - Family Room - Bookcase 1",1555841708,3.96,3.99,0.00,3.99,3.99,6.00,2.48,4.39,1555841708,9781555841706,"End of the line: Autoworkers and the American dream",https://www.amazon.com/dp/1555841708,"Brand: Weidenfeld n Nicolson","Weidenfeld & Nicolson","Weidenfeld & Nicolson",1988,1st,297,2495838,$13.00,100,930,630,130,,,,,"Weidenfeld & Nicolson",,10,38,10,0,11
"Library - Family Room - Bookcase 1",0465086802,5.43,0.00,0.00,,0.00,5.44,,5.59,0465086802,9780465086801,"Trading Places",https://www.amazon.com/dp/0465086802,,"Basic Books","Basic Books",1988-05-17,,365,3766881,$4.00,160,930,610,145,,,,,"Basic Books",$5.98,10,61,5,0,11
"Library - Family Room - Bookcase 1",0671789538,2.00,3.99,0.00,3.99,0.00,5.59,3.00,5.99,0671789538,9780671789534,"Turning the Tables: A Machiavellian Strategy for Dealing with Japan",https://www.amazon.com/dp/0671789538,,"Simon & Schuster","Simon & Schuster",1993-02-23,,272,9021899,$2.01,110,940,600,130,975,650,125,,"Simon & Schuster",$4.25,13,28,12,0,11
"Library - Family Room - Bookcase 1",0670803642,4.99,0.00,0.00,0.00,5.29,7.50,5.75,3.49,0670803642,9780670803644,"The Triarchic Mind: A New Theory of Human Intelligence",https://www.amazon.com/dp/0670803642,,"Viking Adult","Viking Adult",1988-08-24,1st.Edition,384,2347753,$14.95,110,980,620,160,2000,2000,2000,,"Viking Adult",,3,22,3,0,11
"Library - Family Room - Bookcase 1",1555842704,5.34,0.00,1.00,0.00,,4.34,5.34,,1555842704,9781555842703,"Private Life in the Fifteenth Century: Illustrated Letters of the Paston Family",https://www.amazon.com/dp/1555842704,"Weidenfeld & Nicholson","Weidenfeld & Nicholson","Weidenfeld & Nicholson",1989-10-01,"1st American ed",,1366261,$10.99,100,910,860,190,,,,,"Weidenfeld & Nicholson",,9,61,6,0,11
"Library - Family Room - Bookcase 1",1853263117,5.12,0.00,0.00,3.99,,5.47,1.33,,1853263117,9781853263118,"Concise Dictionary of English Etymology (Wordsworth Reference) (Wordsworth Collection)",https://www.amazon.com/dp/1853263117,,"Wordsworth Editions Ltd","Wordsworth Editions Ltd",1998-04-01,"New edition",656,1463677,$23.00,150,764,496,88,800,525,150,91,"Wordsworth Editions Ltd",,8,77,1,0,11
"Library - Family Room - Bookcase 1",039303089X,4.85,0.00,0.00,,3.99,4.99,,1.99,039303089X,9780393030891,"In Search of Excess: The Overcompensation of American Executive",https://www.amazon.com/dp/039303089X,,"Ecco Pr","Ecco Pr",1991-10-01,1,272,1775012,$15.15,118,913,630,146,975,650,100,,"Ecco Pr",$15.15,8,38,1,0,11
"Library - Family Room - Bookcase 1",0140091106,5.47,0.00,,0.00,,,4.98,,0140091106,9780140091106,"Understanding Organizations (Business Library)",https://www.amazon.com/dp/0140091106,,"Penguin Books","Penguin Books",1986-10-07,3rd,496,13694008,$66.73,102,764,512,71,500,700,100,,"Penguin Books",,3,65,1,0,11
"Library - Family Room - Bookcase 1",0060914173,4.49,0.00,0.00,0.00,,5.05,5.59,,0060914173,9780060914172,"The IBM Way : Insights into the World's Most Successful Marketing Organization",https://www.amazon.com/dp/0060914173,,HarperTrade,HarperTrade,1987,,288,4132031,$4.53,60,800,530,60,,,,,HarperTrade,,9,33,1,0,11
"Library - Family Room - Bookcase 1",0312002742,5.59,0.00,3.99,,3.99,1.14,,5.00,0312002742,9780312002749,"Rethinking Writing",https://www.amazon.com/dp/0312002742,,"Palgrave Macmillan","Palgrave Macmillan",1989-01-01,,235,10705479,$49.99,50,790,530,75,,,,,"Palgrave Macmillan",,2,10,1,0,11
"Library - Family Room - Bookcase 1",014007564X,5.98,0.00,0.00,3.99,,5.99,2.50,,014007564X,9780140075649,"Taming the Tiger: The Struggle to Control Technology",https://www.amazon.com/dp/014007564X,,"Penguin Books","Penguin Books",1985-02-05,,272,3491088,$26.18,60,770,500,5,800,500,50,,"Penguin Books",,6,24,1,0,11
