name,asin,Good,Good_S,VeryGood_S,Acceptable_S,LIKEnew_S,VeryGood,Acceptable,LIKEnew,isbn,ean,title,Product_Page_Link,brand,Publisher,manufacturer,publicationdate,Edition,numberofpages,salesrank,New_MFN_Price,packagedimensions_height,packagedimensions_length,packagedimensions_width,packagedimensions_weight,itemdimensions_height,itemdimensions_length,itemdimensions_width,itemdimensions_weight,label,buybox_price,totalnew,totalused,totalcollectible,totalrefurbished,status1
"Library - Family Room - Bookcase 2",0911382194,65.51,3.99,3.99,,3.99,65.50,,191.33,0911382194,9780911382198,"Railroad Mergers History Analysis Insight",https://www.amazon.com/dp/0911382194,"Brand: Simmons Boardman Pub Co","Simmons Boardman Pub Co","Simmons Boardman Pub Co",1997-08-01,,475,2834832,$88.79,150,930,630,210,975,675,175,,"Simmons Boardman Pub Co",,5,9,0,0,11
"Library - Family Room - Bookcase 2",1556238606,4.99,0.00,3.96,,,1.29,,5.99,1556238606,9781556238604,"Bogle On Mutual Funds: New Perspectives for the Intelligent Investor",https://www.amazon.com/dp/1556238606,McGraw-Hill,McGraw-Hill,McGraw-Hill,1993-09-01,1,320,1241270,$4.85,140,910,630,140,910,640,95,0,McGraw-Hill,$9.90,15,98,4,0,11
"Library - Family Room - Bookcase 2",0374173273,0.99,3.99,0.00,0.00,,4.99,5.26," ",0374173273,9780374173272,"How to Be Alone: Essays",https://www.amazon.com/dp/0374173273,,"Farrar, Straus and Giroux","Farrar, Straus and Giroux",2002-10-01,Reprint,288,920742,$8.94,111,913,657,158,856,580,112,,"Farrar, Straus and Giroux",$8.94,14,82,21,0,11
"Library - Family Room - Bookcase 2",157851777X,7.98,0.00,3.99,3.99,,13.98,5.00,58.30,157851777X,9781578517770,"Origin of Wealth: Evolution, Complexity, and the Radical Remaking of Economics",https://www.amazon.com/dp/157851777X,"Brand: Harvard Business Review Press","Harvard Business Review Press","Harvard Business Review Press",2006-06-01,1,527,548154,$29.87,180,940,620,210,950,650,150,213,"Harvard Business Review Press",,6,21,0,0,11
"Library - Family Room - Bookcase 2",0007281714,1.14,3.99,0.00,3.99,,5.99,1.80," ",0732290694,9780007281718,"Pirate Latitudes",https://www.amazon.com/dp/0007281714,HarperCollins,HarperCollins,HarperCollins,2009,,,4774281,$18.00,87,913,598,97,909,709,91,93,HarperCollins,,3,26,2,0,11
"Library - Family Room - Bookcase 2",1846050383,1.06,3.99,3.99,3.99,,1.80,2.89," ",1846050383,9781846050381,"The Innocent Man",https://www.amazon.com/dp/1846050383,,Century,Century,2007,"UK Airport ed",,5023818,$105.05,126,898,598,110,921,602,106,,Century,,1,21,0,0,11
"Library - Family Room - Bookcase 2",0878573968,5.12,0.00,1.00,4.89,,4.12,0.25," ",0878573968,9780878573967,"Rodale's Encyclopedia of Natural Home Remedies:  Hundreds of Simple Healing Techniques for Everyday Illness and Emergencies",https://www.amazon.com/dp/0878573968,,"Rodale Press","Rodale Press",1982-08-15,,512,791980,$4.91,170,820,550,180,1000,700,200,,"Rodale Press",,14,142,2,0,11
"Library - Family Room - Bookcase 2",0198880189,5.79,0.00,0.00,0.00,,6.96,5.99," ",0198880189,9780198880189,"The Problems of Philosophy (Opus Books)",https://www.amazon.com/dp/0198880189,,"Oxford University Press","Oxford University Press",1967,"2Rev Ed",106,5709699,$74.09,20,750,500,15,,,,,"Oxford University Press",,2,35,0,0,11
"Library - Family Room - Bookcase 2",0929661036,4.99,0.00,1.00,,,3.99,," ",0929661036,9780929661032,"The Wellness Encyclopedia of Food and Nutrition",https://www.amazon.com/dp/0929661036,"Brand: Random House","Random House","Random House",1992-09-29,1,512,246426,$4.76,160,1010,810,295,1028,830,154,,"Random House",,28,225,5,0,11
"Library - Family Room - Bookcase 2",0671680684,1.32,3.99,3.99,3.99,,5.95,1.50," ",0671680684,9780671680688,"Vision in action: Putting a winning strategy to work",https://www.amazon.com/dp/0671680684,,"Simon and Schuster","Simon and Schuster",1989,"First Edition",223,3467823,$4.69,100,930,600,30,,,,,"Simon and Schuster",,8,20,4,0,11
"Library - Family Room - Bookcase 2",0892817224,5.29,0.00,0.00,0.00,0.00,5.29,5.99,5.99,0892817224,9780892817221,"Child Astrology: A Guide to Nurturing Your Child's Natural Gifts",https://www.amazon.com/dp/0892817224,"Brand: Destiny Books","Destiny Books","Destiny Books",1999-07-01,,272,1371375,$2.00,79,894,604,90,900,600,70,90,"Destiny Books",$2.00,16,33,1,0,11
"Library - Family Room - Bookcase 2",0965870103,5.59,0.00,0.00,,3.49,4.99,,4.50,0965870103,9780965870108,"Sonoma Country... Its Bounty",https://www.amazon.com/dp/0965870103,"Brand: Wimmer Book Dist","Wimmer Cookbooks, Inc.","Wimmer Cookbooks, Inc.",1997-12-01,,224,7101215,$19.90,111,923,700,125,111,923,700,,"Wimmer Cookbooks, Inc.",$19.90,4,14,0,0,11
"Library - Family Room - Bookcase 2",0201590468,5.96,0.00,0.00,0.00,0.00,5.96,9.97,9.95,0201590468,9780201590463,"The Cruelty Of Depression",https://www.amazon.com/dp/0201590468,,"Da Capo Press","Da Capo Press",1997-10-16,0,144,3282179,$7.47,60,820,540,70,875,575,75,,"Da Capo Press",$14.70,9,24,2,0,11
"Library - Family Room - Bookcase 2",0814404316,5.99,0.00,3.99,3.99,5.12,17.50,26.95,62.09,0814404316,9780814404317,"Secrets of the Wild Goose: The Self-Management Way to Increase Your Personal Power and Inspire Productive Teamwork",https://www.amazon.com/dp/0814404316,,AMACOM,AMACOM,1998-05-11,"Original Radio Broadcast and ed.",320,5309323,$0.10,120,910,600,125,925,650,125,,AMACOM,$16.81,10,8,1,0,11
"Library - Family Room - Bookcase 2",0684196468,4.99,0.00,0.00,,3.99,4.99,,0.99,0684196468,9780684196466,"Money: Who Has How Much and Why",https://www.amazon.com/dp/0684196468,,Scribner,Scribner,1997-06-17,"First Edition",256,3761820,$4.47,100,920,590,115,1000,675,125,,Scribner,$4.47,11,52,8,0,11
